zip_code,school_name,school_rating,grade_levels,percent_low_income
22205,McKinley Elementary School,10.0,PK-5,5
22205,Arlington Traditional,10.0,PK-5,17
23836,Enon Elementary School,10.0,PK-5,25
22182,Westbriar Elementary School,10.0,PK-6,4
23233,Gayton Elementary School,10.0,PK-5,8
23601,Deer Park Elementary School,10.0,PK-5,37
24014,Crystal Spring Elementary School,10.0,PK-5,16
24018,Green Valley Elementary School,10.0,PK-5,36
24416,Mountain View Elementary School,10.0,PK-5,47
23456,Kemps Landing Magnet,10.0,2-8,10
23456,North Landing Elementary School,10.0,PK-5,12
24210,Greendale Elementary School,10.0,PK-5,51
24202,High Point Elementary School,10.0,PK-5,47
24211,Watauga Elementary School,10.0,PK-5,43
24283,St. Paul Elementary School,10.0,PK-8,57
24374,Speedwell Elementary School,10.0,PK-5,51
23693,Mount Vernon Elementary School,10.0,PK-5,12
23696,Seaford Elementary School,10.0,K-5,16
23693,Tabb Elementary School,10.0,PK-5,18
20147,Belmont Station Elementary School,10.0,PK-5,4
22191,Mary G. Porter Traditional,10.0,1-8,19
24521,Temperance Elementary School,9.0,PK-5,47
22207,Jamestown Elementary School,9.0,PK-5,2
22207,Taylor Elementary School,9.0,PK-5,4
22213,Tuckahoe Elementary School,9.0,PK-5,3
23113,Bettie Weaver Elementary School,9.0,PK-5,1
23236,W W Gordon Elementary School,9.0,PK-5,7
23112,Woolridge Elementary School,9.0,PK-5,6
24272,Ervinton Elementary School,9.0,PK-5,70
22101,Churchill Road Elementary School,9.0,PK-6,1
20171,Floris Elementary School,9.0,PK-6,2
22066,Great Falls Elementary School,9.0,PK-6,1
22043,Haycock Elementary School,9.0,PK-6,2
22152,Keene Mill Elementary School,9.0,PK-6,15
22101,Kent Gardens Elementary School,9.0,PK-6,1
22066,Forestville Elementary School,9.0,PK-6,1
22153,Sangster Elementary School,9.0,PK-6,2
20151,Poplar Tree Elementary School,9.0,PK-6,6
24065,Boones Mill Elementary School,9.0,PK-5,43
24137,Snow Creek Elementary School,9.0,PK-5,55
23116,Rural Point Elementary School,9.0,PK-5,12
23059,Shady Grove Elementary School,9.0,PK-5,2
23233,Short Pump Elementary School,9.0,PK-5,7
23229,Three Chopt Elementary School,9.0,PK-5,43
23228,Trevvett Elementary School,9.0,PK-5,52
23229,Tuckahoe Elementary School,9.0,PK-5,4
23233,Nuckols Farm Elementary School,9.0,PK-5,6
20132,Emerick Elementary School,9.0,PK-5,12
24531,Chatham Elementary School,9.0,PK-5,61
24531,Union Hall Elementary School,9.0,PK-5,68
23875,L.L. Beazley Elementary School,9.0,PK-5,50
20112,Thurgood Marshall Elementary School,9.0,PK-5,12
22192,Occoquan Elementary School,9.0,PK-5,65
24347,Snowville Elementary School,9.0,PK-5,43
24015,Grandin Court Elementary School,9.0,PK-5,31
22801,Pleasant Valley Elementary School,9.0,PK-5,59
24280,Belfast Elk Garden Elementary School,9.0,K-5,56
24266,Lebanon Elementary School,9.0,2-4,51
24290,Weber City Elementary School,9.0,PK-6,46
24251,Yuma Elementary School,9.0,PK-6,45
22407,Chancellor Elementary School,9.0,PK-5,21
23457,Creeds Elementary School,9.0,PK-5,18
23452,Kingston Elementary School,9.0,PK-5,5
23456,Princess Anne Elementary School,9.0,PK-5,9
23455,Thoroughgood Elementary School,9.0,PK-5,18
23456,Red Mill Elementary School,9.0,PK-5,10
24216,Appalachia Elementary School,9.0,PK-8,79
24279,J.W. Adams Combined,9.0,PK-8,58
24219,Powell Valley Primary School,9.0,PK-4,58
24368,Rural Retreat Elementary School,9.0,PK-5,49
24382,Sheffey Elementary School,9.0,PK-5,53
23665,Bethel Manor Elementary School,9.0,PK-5,47
23060,Echo Lake Elementary School,9.0,PK-5,17
23059,Twin Hickory Elementary School,9.0,PK-5,6
20112,Ashland Elementary School,9.0,PK-5,10
22182,Colvin Run Elementary School,9.0,PK-6,1
23059,Rivers Edge Elementary School,9.0,PK-5,3
23604,General Stanford Elementary School,9.0,PK-5,48
20110,Pennington School,9.0,1-8,16
23836,Elizabeth Scott Elementary School,9.0,PK-5,44
23832,Winterpock Elementary School,9.0,PK-5,4
23059,Kaechele Elementary,9.0,PK-5,2
22207,Discovery Elementary School,9.0,PK-5,3
22903,Virginia L Murray Elementary School,8.0,PK-5,8
22911,Hollymead Elementary School,8.0,PK-5,10
22207,Nottingham Elementary School,8.0,K-5,3
22201,Arlington Science Focus School,8.0,PK-5,19
24460,Millboro Elementary School,8.0,PK-7,59
24095,Stewartsville Elementary School,8.0,PK-5,58
24077,Cloverdale Elementary School,8.0,PK-5,16
24064,Colonial Elementary School,8.0,PK-5,23
23322,Great Bridge Intermediate School,8.0,3-5,15
23237,Bellwood Elementary School,8.0,PK-5,74
23237,Bensley Elementary School,8.0,PK-5,84
23114,J B Watkins Elementary School,8.0,PK-5,10
22101,Chesterbrook Elementary School,8.0,PK-6,0
22181,Flint Hill Elementary School,8.0,PK-6,5
22031,Mantua Elementary School,8.0,PK-6,11
22033,Navy Elementary School,8.0,PK-6,4
22124,Oakton Elementary School,8.0,PK-6,7
22150,Springfield Estates Elementary School,8.0,PK-6,28
22180,Stenwood Elementary School,8.0,PK-6,11
22180,Vienna Elementary School,8.0,PK-6,7
22032,Wakefield Forest Elementary School,8.0,PK-6,7
22308,Waynewood Elementary School,8.0,PK-6,2
22182,Wolftrap Elementary School,8.0,PK-6,1
22015,Terra Centre Elementary School,8.0,PK-6,9
20171,Oak Hill Elementary School,8.0,PK-6,3
20171,Crossfield Elementary School,8.0,PK-6,3
22030,Willow Springs Elementary School,8.0,PK-6,7
24067,Callaway Elementary School,8.0,PK-5,60
24102,Henry Elementary School,8.0,PK-5,56
24333,Baywood Elementary School,8.0,PK-5,75
24333,Fairview Elementary School,8.0,K-5,77
23661,Armstrong Elementary School,8.0,K-5,23
23116,Pearson's Corner Elementary School,8.0,PK-5,4
23116,Cool Spring Elementary School,8.0,PK-5,7
23226,Crestview Elementary School,8.0,PK-5,43
23060,Glen Allen Elementary School,8.0,PK-5,12
23315,Carrsville Elementary School,8.0,PK-5,50
24248,Elydale Elementary School,8.0,5-7,79
24282,St. Charles Elementary School,8.0,PK-5,73
20132,Lincoln Elementary School,8.0,PK-5,5
20141,Round Hill Elementary School,8.0,PK-5,8
20165,Lowes Island Elementary School,8.0,PK-5,5
20175,Evergreen Mill Elementary School,8.0,PK-5,39
20148,Hillside Elementary School,8.0,PK-5,4
20110,Weems Elementary School,8.0,PK-4,68
24060,Gilbert Linkous Elementary School,8.0,PK-5,19
23601,Hilton Elementary School,8.0,PK-5,28
23518,Larrymore Elementary School,8.0,PK-5,61
23505,Sewells Point Elementary School,8.0,PK-5,60
24053,Blue Ridge Elementary School,8.0,PK-7,65
24120,Meadows Of Dan Elementary School,8.0,PK-7,13
24185,Woolwine Elementary School,8.0,PK-7,63
24563,John L. Hurt Elementary School,8.0,PK-5,77
24557,Mt. Airy Elementary School,8.0,PK-5,73
23662,Poquoson Elementary School,8.0,3-5,18
23139,Powhatan Elementary School,8.0,K-5,25
23842,South Elementary School,8.0,PK-5,41
23875,William A. Walton Elementary School,8.0,PK-5,47
22192,Old Bridge Elementary School,8.0,PK-5,38
24018,Cave Spring Elementary School,8.0,PK-5,14
24014,Mount Pleasant Elementary School,8.0,PK-5,38
22812,John W. Wayland Elementary School,8.0,PK-5,29
24260,Honaker Elementary School,8.0,PK-7,61
24370,Rich Valley Elementary School,8.0,PK-5,54
23829,Capron Elementary School,8.0,PK-5,57
24630,North Tazewell Elementary School,8.0,PK-5,69
24641,Richlands Elementary School,8.0,PK-5,61
24651,Tazewell Elementary School,8.0,PK-5,57
23456,Strawbridge Elementary School,8.0,PK-5,15
23456,Landstown Elementary School,8.0,PK-5,34
23454,Corporate Landing Elementary School,8.0,PK-5,52
23452,Holland Elementary School,8.0,PK-5,73
23454,John B. Dey Elementary School,8.0,PK-5,15
23462,Pembroke Elementary School,8.0,PK-5,53
23454,Trantwood Elementary School,8.0,PK-5,21
23453,Rosemont Elementary School,8.0,PK-5,65
23456,Salem Elementary School,8.0,PK-5,36
23454,Ocean Lakes Elementary School,8.0,PK-5,25
24202,Valley Institute Elementary,8.0,PK-5,61
23181,West Point Elementary School,8.0,PK-5,39
24360,Max Meadows Elementary School,8.0,PK-5,53
23693,Coventry Elementary School,8.0,PK-5,13
24019,Bonsack Elementary School,8.0,PK-5,9
20152,Little River Elementary School,8.0,PK-5,2
20148,Mill Run Elementary School,8.0,PK-5,2
22204,Campbell Elementary School,8.0,PK-5,53
20136,Cedar Point Elementary School,8.0,PK-5,9
