zip_code,school_name,school_rating,grade_levels,percent_low_income
22101,Cooper Middle School,10.0,7-8,3
23456,Kemps Landing Magnet,10.0,2-8,10
24283,St. Paul Elementary School,10.0,PK-8,57
22191,Mary G. Porter Traditional,10.0,1-8,19
22032,Frost Middle School,9.0,7-8,9
22043,Longfellow Middle School,9.0,7-8,5
20151,Rocky Run Middle School,9.0,7-8,10
20151,Franklin Middle School,9.0,7-8,14
23663,Francis W. Jones Magnet Middle School,9.0,6-8,34
24153,Glenvar Middle School,9.0,6-8,26
23454,Great Neck Middle School,9.0,6-8,23
23181,West Point Middle School,9.0,6-8,28
24216,Appalachia Elementary School,9.0,PK-8,79
24279,J.W. Adams Combined,9.0,PK-8,58
24293,L.F. Addington Middle School,9.0,5-8,30
23693,Tabb Middle School,9.0,6-8,19
22554,Rodney E. Thompson Middle School,9.0,6-8,10
20110,Pennington School,9.0,1-8,16
23059,Holman Middle School,9.0,6-8,8
24460,Millboro Elementary School,8.0,PK-7,59
23322,Great Bridge Middle School,8.0,6-8,10
22015,Lake Braddock Secondary,8.0,7-12,14
23116,Chickahominy Middle School,8.0,6-8,9
23059,Short Pump Middle School,8.0,6-8,4
20132,Blue Ridge Middle School,8.0,6-8,11
20147,Farmwell Station Middle School,8.0,6-8,13
24053,Blue Ridge Elementary School,8.0,PK-7,65
24120,Meadows Of Dan Elementary School,8.0,PK-7,13
24185,Woolwine Elementary School,8.0,PK-7,63
24018,Cave Spring Middle School,8.0,6-8,16
24018,Hidden Valley Middle School,8.0,6-8,18
24260,Honaker Elementary School,8.0,PK-7,61
24370,Northwood Middle School,8.0,6-8,63
23453,Princess Anne Middle School,8.0,6-8,10
23464,Salem Middle School,8.0,6-8,39
24230,Coeburn Middle School,8.0,5-8,63
24219,Powell Valley Middle School,8.0,5-8,56
23692,Grafton Middle School,8.0,6-8,14
23233,Pocahontas Middle School,8.0,6-8,16
20148,Eagle Ridge Middle School,8.0,6-8,5
20124,Liberty Middle School,8.0,7-8,23
23116,Oak Knoll Middle School,8.0,6-8,10
24368,Rural Retreat Middle School,8.0,6-8,47
20176,Belmont Ridge Middle School,8.0,6-8,7
23114,Tomahawk Creek Middle School,8.0,6-8,7
20152,J Michael Lunsford Middle School,8.0,6-8,7
20148,ROCK RIDGE HIGH SCHOOL,8.0,PK-12,13
20155,Gainesville Middle School,8.0,6-8,13
22205,Swanson Middle School,7.0,6-8,13
22207,Williamsburg Middle School,7.0,6-8,8
24090,Central Academy Middle,7.0,6-8,25
24077,Read Mountain Middle School,7.0,6-8,18
23322,Hickory Middle School,7.0,6-8,8
23323,Hugo A. Owens Middle School,7.0,6-8,27
23113,Midlothian Middle School,7.0,6-8,7
23113,Robious Middle School,7.0,6-8,17
23112,Swift Creek Middle School,7.0,6-8,17
22152,Irving Middle School,7.0,7-8,12
22182,Kilmer Middle School,7.0,7-8,11
22032,Robinson Secondary,7.0,7-12,9
22180,Thoreau Middle School,7.0,7-8,10
20171,Carson Middle School,7.0,7-8,10
22043,Mary Ellen Henderson Middle School,7.0,6-8,0
20198,Marshall Middle School,7.0,6-8,23
24141,Indian Valley Elementary School,7.0,PK-7,45
24151,Gereau Center For Apl Tech&Career Expl,7.0,2,48
23487,Windsor Middle School,7.0,6-8,37
24549,Tunstall Middle School,7.0,6-8,47
24531,Chatham Middle School,7.0,6-8,53
23842,J.E.J. Moore Middle School,7.0,6-7,39
20136,E.H. Marsteller Middle School,7.0,6-8,12
20181,Nokesville Elementary School,7.0,PK-8,18
24013,Stonewall Jackson Middle School,7.0,6-8,99
24271,Nickelsville Elementary School,7.0,PK-7,59
24244,Rye Cove Intermediate School,7.0,5-7,65
24251,Gate City Middle School,7.0,7-9,54
22554,H.H. Poole Middle School,7.0,6-8,29
22556,Andrew G. Wright Middle School,7.0,6-8,22
24605,Graham Middle School,7.0,6-8,42
24641,Richlands Middle School,7.0,6-8,51
23456,Landstown Middle School,7.0,6-8,31
23454,Corporate Landing Middle School,7.0,6-8,44
23455,Independence Middle School,7.0,6-8,37
23451,Virginia Beach Middle School,7.0,6-8,42
24340,Glade Spring Middle School,7.0,6-8,57
24202,Wallace Middle School,7.0,6-8,45
23185,Queens Lake Middle School,7.0,6-8,29
20176,Harper Park Middle School,7.0,6-8,17
20175,Heritage High School,7.0,PK-12,18
23605,Achievable Dream Middle/High School,7.0,6-12,84
20105,Mercer Middle School,7.0,6-8,8
23666,George P Phenix Elementary School,7.0,PK-8,33
20132,Woodgrove High School,7.0,PK-12,6
20169,Ronald Wilson Reagan Middle School,7.0,6-8,10
20147,Trailside Middle School,7.0,6-8,9
23509,The Academy for Discovery at Lakewood,7.0,3-8,49
24228,Ridgeview Middle School,7.0,6-8,53
23336,Chincoteague High School,6.0,6-12,34
24522,Appomattox Middle School,6.0,6-8,45
22206,Gunston Middle School,6.0,6-8,30
24445,Valley Elementary School,6.0,PK-7,49
24551,Forest Middle School,6.0,6-8,17
24366,Bland High School,6.0,7-12,30
23321,Jolliff Middle School,6.0,6-8,27
24502,Brookville Middle School,6.0,6-8,31
24343,Woodlawn School,6.0,6-8,53
23320,Crestwood Middle School,6.0,6-8,41
23325,Indian River Middle School,6.0,6-8,53
23321,Western Branch Middle School,6.0,6-8,29
23112,Bailey Bridge Middle School,6.0,6-8,21
22701,Culpeper Middle School,6.0,6-8,40
20120,Stone Middle School,6.0,7-8,26
22310,Twain Middle School,6.0,7-8,32
24151,Ben. Franklin Middle-West,6.0,7-8,47
24124,Narrows Elementary/Middle School,6.0,PK-7,57
23061,Peasley Middle School,6.0,6-8,34
23238,Byrd Middle School,6.0,6-8,39
24112,Laurel Park Middle School,6.0,6-8,60
23860,Carter G. Woodson Middle School,6.0,6-8,91
23110,King & Queen Elementary School,6.0,PK-7,50
20111,Manassas Park Middle School,6.0,6-8,59
24060,Blacksburg Middle School,6.0,6-8,17
23607,B.T. Washington Middle School,6.0,6-8,38
23513,Norview Middle School,6.0,6-8,63
24273,Norton Elementary School,6.0,PK-7,69
24171,Stuart Elementary School,6.0,PK-7,50
23662,Poquoson Middle School,6.0,6-8,14
23139,Powhatan Jr. High School,6.0,7-8,13
22192,Lake Ridge Middle School,6.0,6-8,32
23223,Franklin Military Academy,6.0,6-12,96
22572,Richmond County Elementary School,6.0,PK-7,57
24179,William Byrd Middle School,6.0,6-8,30
22815,Elkton Middle School,6.0,6-8,34
22815,J. Frank Hillyard Middle School,6.0,6-8,37
24649,Swords Creek Elementary School,6.0,3-7,61
24245,Dungannon Intermediate School,6.0,4-7,70
24319,Chilhowie Middle School,6.0,6-8,53
24354,Marion Middle School,6.0,6-8,57
23837,Southampton Middle School,6.0,6-8,44
22553,Spotsylvania Middle School,6.0,6-8,29
22405,Edward E. Drew Jr. Middle School,6.0,6-8,36
23435,John Yeates Middle School,6.0,6-8,26
24651,Tazewell Middle School,6.0,6-8,55
23462,Bayside Middle School,6.0,6-8,66
23464,Brandon Middle School,6.0,6-8,42
23464,Kempsville Middle School,6.0,6-8,31
23454,Lynnhaven Middle School,6.0,6-8,32
23452,Plaza Middle School,6.0,6-8,44
24210,E.B. Stanley Middle School,6.0,6-8,41
24236,Damascus Middle School,6.0,6-8,62
23692,Yorktown Middle School,6.0,6-8,26
22553,Ni River Middle School,6.0,6-8,23
23320,Greenbrier Middle School,6.0,6-8,24
